s_count,b_count,pitch_num,on_1b,on_2b,on_3b,pitcher_id,stand,p_throws,fastball,last_ff_not
1,0,2,0,0,0,608665,R,R,0,OTHER
1,1,3,0,0,0,608665,R,R,0,OTHER
2,1,4,0,0,0,608665,R,R,0,OTHER
2,1,5,0,0,0,608665,R,R,0,CU/SL
0,0,1,0,0,0,608665,R,R,0,OTHER
1,0,2,0,0,0,608665,R,R,1,OTHER
1,1,3,0,0,0,608665,R,R,1,FF
2,1,4,0,0,0,608665,R,R,0,FF
0,0,1,0,0,0,608665,R,R,0,OTHER
1,0,2,0,0,0,608665,R,R,0,OTHER
2,0,3,0,0,0,608665,R,R,1,OTHER
2,1,4,0,0,0,608665,R,R,1,FF
2,2,5,0,0,0,608665,R,R,0,FF
0,0,1,0,0,0,572070,L,R,1,OTHER
0,0,1,1,0,0,572070,R,R,1,FF
0,1,2,1,0,0,572070,R,R,1,FF
0,0,1,1,0,1,572070,L,R,1,FF
1,0,2,1,0,1,572070,L,R,0,FF
1,1,3,1,0,1,572070,L,R,0,CU/SL
2,1,4,1,0,1,572070,L,R,0,CU/SL
2,2,5,1,0,1,572070,L,R,1,CU/SL
0,0,1,1,1,0,572070,R,R,0,FF
1,0,2,1,1,0,572070,R,R,0,CU/SL
2,0,3,1,1,0,572070,R,R,0,CU/SL
2,0,4,1,1,0,572070,R,R,1,CU/SL
0,0,1,1,1,0,572070,L,R,0,FF
0,1,2,1,1,0,572070,L,R,0,CU/SL
1,1,3,1,1,0,572070,L,R,1,CU/SL
1,2,4,1,1,0,572070,L,R,0,FF
2,2,5,1,1,0,572070,L,R,0,CU/SL
2,3,6,1,1,0,572070,L,R,0,CU/SL
0,0,1,0,0,0,608665,R,R,0,CU/SL
1,0,2,0,0,0,608665,R,R,0,OTHER
2,0,3,0,0,0,608665,R,R,1,OTHER
0,0,1,0,0,0,608665,L,R,0,FF
0,1,2,0,0,0,608665,L,R,0,OTHER
1,1,3,0,0,0,608665,L,R,0,OTHER
2,1,4,0,0,0,608665,L,R,0,OTHER
0,0,1,0,0,1,608665,R,R,0,OTHER
0,1,2,0,0,1,608665,R,R,0,OTHER
1,1,3,0,0,1,608665,R,R,0,OTHER
0,0,1,1,0,0,608665,L,R,0,OTHER
0,1,2,1,0,0,608665,L,R,0,OTHER
1,1,3,1,0,0,608665,L,R,1,CH
0,0,1,1,0,0,608665,L,R,1,FF
0,0,1,1,1,0,608665,R,R,0,FF
1,0,2,1,1,0,608665,R,R,0,OTHER
1,1,3,1,1,0,608665,R,R,1,OTHER
0,0,1,0,1,1,608665,R,R,0,FF
1,0,2,0,1,1,608665,R,R,1,OTHER
1,1,3,0,1,1,608665,R,R,0,FF
2,1,4,0,1,1,608665,R,R,0,OTHER
2,2,5,0,1,1,608665,R,R,1,CU/SL
0,0,1,0,0,0,572070,R,R,1,FF
1,0,2,0,0,0,572070,R,R,1,FF
1,1,3,0,0,0,572070,R,R,0,FF
0,0,1,0,0,0,572070,R,R,0,CU/SL
1,0,2,0,0,0,572070,R,R,0,CU/SL
1,1,3,0,0,0,572070,R,R,1,CU/SL
0,0,1,0,0,0,572070,R,R,1,FF
0,1,2,0,0,0,572070,R,R,1,FF
0,2,3,0,0,0,572070,R,R,1,FF
1,2,4,0,0,0,572070,R,R,1,FF
2,2,5,0,0,0,572070,R,R,0,FF
0,0,1,1,0,0,572070,L,R,1,CU/SL
1,0,2,1,0,0,572070,L,R,0,FF
2,0,3,1,0,0,572070,L,R,0,CU/SL
2,1,4,1,0,0,572070,L,R,0,CU/SL
2,1,5,1,0,0,572070,L,R,1,CU/SL
0,0,1,0,1,1,572070,L,R,0,FF
1,0,2,0,1,1,572070,L,R,1,CU/SL
2,0,3,0,1,1,572070,L,R,0,FF
0,0,1,0,0,0,608665,R,R,1,CU/SL
1,0,2,0,0,0,608665,R,R,0,FF
1,1,3,0,0,0,608665,R,R,0,CU/SL
0,0,1,0,0,0,608665,R,R,1,OTHER
1,0,2,0,0,0,608665,R,R,0,FF
1,1,3,0,0,0,608665,R,R,0,OTHER
2,1,4,0,0,0,608665,R,R,0,OTHER
2,2,5,0,0,0,608665,R,R,0,CU/SL
2,2,6,0,0,0,608665,R,R,0,OTHER
0,0,1,0,0,0,608665,R,R,1,OTHER
1,0,2,0,0,0,608665,R,R,0,FF
2,0,3,0,0,0,608665,R,R,0,OTHER
2,1,4,0,0,0,608665,R,R,0,CU/SL
2,1,5,0,0,0,608665,R,R,1,OTHER
2,1,6,0,0,0,608665,R,R,0,FF
